1,1,0.01639344262295082,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 0kW, 1200-1500: 50kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 50kW])
35,3,0.5737704918032787,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
36,1,0.5901639344262295,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
36,2,0.5901639344262295,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
36,3,0.5901639344262295,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
37,1,0.6065573770491803,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
37,2,0.6065573770491803,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
37,3,0.6065573770491803,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
38,1,0.6229508196721312,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
38,2,0.6229508196721312,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
38,3,0.6229508196721312,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
39,1,0.639344262295082,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 0kW])
39,2,0.639344262295082,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 50kW, 1800-2100: 50kW, 2100-0000: 75kW])
39,3,0.639344262295082,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 50kW, 1800-2100: 50kW, 2100-0000: 75kW])
40,1,0.6557377049180327,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
40,2,0.6557377049180327,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 75kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
40,3,0.6557377049180327,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 75kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
41,1,0.6721311475409836,Agent10@259,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 25kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
41,2,0.6721311475409836,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
41,3,0.6721311475409836,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
42,1,0.6885245901639344,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 50kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
42,2,0.6885245901639344,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 25kW])
42,3,0.6885245901639344,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 25kW])
43,1,0.7049180327868853,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 0kW])
43,2,0.7049180327868853,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 25kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
43,3,0.7049180327868853,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 25kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
44,1,0.7213114754098361,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 0kW])
44,2,0.7213114754098361,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 75kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 75kW])
44,3,0.7213114754098361,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 75kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 75kW])
45,1,0.7377049180327869,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
45,2,0.7377049180327869,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 25kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
45,3,0.7377049180327869,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 25kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
46,1,0.7540983606557377,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 0kW])
46,2,0.7540983606557377,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 75kW, 2100-0000: 25kW])
46,3,0.7540983606557377,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 100kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 75kW, 2100-0000: 25kW])
47,1,0.7704918032786885,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
47,2,0.7704918032786885,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 50kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 25kW])
47,3,0.7704918032786885,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 50kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 25kW])
48,1,0.7868852459016393,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 25kW])
48,2,0.7868852459016393,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 50kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 25kW])
48,3,0.7868852459016393,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 50kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 25kW])
49,1,0.8032786885245902,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 25kW])
49,2,0.8032786885245902,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 75kW])
49,3,0.8032786885245902,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 100kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 75kW])
50,1,0.819672131147541,Agent10@259,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
50,2,0.819672131147541,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 50kW])
50,3,0.819672131147541,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 50kW])
51,1,0.8360655737704918,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 25kW])
51,2,0.8360655737704918,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 0kW, 1800-2100: 50kW, 2100-0000: 25kW])
51,3,0.8360655737704918,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 0kW, 1800-2100: 50kW, 2100-0000: 25kW])
52,1,0.8524590163934426,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
52,2,0.8524590163934426,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 0kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 25kW])
52,3,0.8524590163934426,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 0kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 25kW])
53,1,0.8688524590163934,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 0kW])
53,2,0.8688524590163934,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 75kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 50kW, 1500-1800: 0kW, 1800-2100: 75kW, 2100-0000: 75kW])
53,3,0.8688524590163934,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 75kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 50kW, 1500-1800: 0kW, 1800-2100: 75kW, 2100-0000: 75kW])
54,1,0.8852459016393442,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
54,2,0.8852459016393442,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 0kW])
54,3,0.8852459016393442,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 0kW])
55,1,0.9016393442622951,Agent10@259,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
55,2,0.9016393442622951,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 75kW, 2100-0000: 50kW])
55,3,0.9016393442622951,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 75kW, 0900-1200: 50kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 75kW, 2100-0000: 50kW])
56,1,0.9180327868852459,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
56,2,0.9180327868852459,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 50kW])
56,3,0.9180327868852459,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 50kW])
57,1,0.9344262295081968,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
57,2,0.9344262295081968,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 100kW, 1200-1500: 25kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 50kW])
57,3,0.9344262295081968,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 100kW, 1200-1500: 25kW, 1500-1800: 50kW, 1800-2100: 100kW, 2100-0000: 50kW])
58,1,0.9508196721311475,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
58,2,0.9508196721311475,BoulwareNegotiationParty@260,(Accept  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
58,3,0.9508196721311475,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
agreement,Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW],0.8916323151339849,0.3029837849601659,0.2892148866780529
